cohort_month,total_users,month_number,percentage
2018-01-01,450,0.0,24.88888888888889
2018-01-01,450,1.0,14.666666666666666
2018-01-01,450,2.0,10.666666666666666
2018-01-01,450,3.0,8.222222222222221
2018-01-01,450,4.0,8.0
2018-01-01,450,5.0,8.666666666666666
2018-01-01,450,6.0,6.222222222222222
2018-01-01,450,7.0,4.888888888888889
2018-01-01,450,8.0,5.777777777777778
2018-01-01,450,9.0,5.555555555555555
2018-01-01,450,10.0,5.333333333333333
2018-01-01,450,11.0,5.555555555555555
2018-02-01,1010,0.0,35.94059405940594
2018-02-01,1010,1.0,17.821782178217823
2018-02-01,1010,2.0,15.445544554455445
2018-02-01,1010,3.0,14.455445544554456
2018-02-01,1010,4.0,13.366336633663366
2018-02-01,1010,5.0,12.475247524752476
2018-02-01,1010,6.0,10.594059405940595
2018-02-01,1010,7.0,9.900990099009901
2018-02-01,1010,8.0,10.396039603960396
2018-02-01,1010,9.0,10.792079207920793
2018-02-01,1010,10.0,10.198019801980198
2018-03-01,870,0.0,30.689655172413794
2018-03-01,870,1.0,12.528735632183908
2018-03-01,870,2.0,11.724137931034482
2018-03-01,870,3.0,11.60919540229885
2018-03-01,870,4.0,9.425287356321839
2018-03-01,870,5.0,9.540229885057471
2018-03-01,870,6.0,9.310344827586206
2018-03-01,870,7.0,8.620689655172415
2018-03-01,870,8.0,8.620689655172415
2018-03-01,870,9.0,8.620689655172415
2018-04-01,849,0.0,31.566548881036514
2018-04-01,849,1.0,14.605418138987044
2018-04-01,849,2.0,12.249705535924617
2018-04-01,849,3.0,10.482921083627797
2018-04-01,849,4.0,8.716136631330977
2018-04-01,849,5.0,8.362779740871614
2018-04-01,849,6.0,8.716136631330977
2018-04-01,849,7.0,9.069493521790342
2018-04-01,849,8.0,8.12720848056537
2018-05-01,1100,0.0,27.363636363636363
2018-05-01,1100,1.0,12.363636363636363
2018-05-01,1100,2.0,8.545454545454545
2018-05-01,1100,3.0,8.272727272727273
2018-05-01,1100,4.0,7.2727272727272725
2018-05-01,1100,5.0,7.2727272727272725
2018-05-01,1100,6.0,6.636363636363637
2018-05-01,1100,7.0,7.0
2018-06-01,1064,0.0,31.860902255639097
2018-06-01,1064,1.0,10.43233082706767
2018-06-01,1064,2.0,9.022556390977444
2018-06-01,1064,3.0,8.270676691729323
2018-06-01,1064,4.0,8.270676691729323
2018-06-01,1064,5.0,7.2368421052631575
2018-06-01,1064,6.0,7.2368421052631575
2018-07-01,1050,0.0,26.0
2018-07-01,1050,1.0,7.619047619047619
2018-07-01,1050,2.0,6.190476190476191
2018-07-01,1050,3.0,6.666666666666667
2018-07-01,1050,4.0,6.190476190476191
2018-07-01,1050,5.0,5.809523809523809
2018-08-01,1141,0.0,24.101665205959684
2018-08-01,1141,1.0,9.903593339176162
2018-08-01,1141,2.0,8.501314636283961
2018-08-01,1141,3.0,7.011393514460999
2018-08-01,1141,4.0,7.975460122699387
2018-09-01,1123,0.0,21.01513802315227
2018-09-01,1123,1.0,8.54853072128228
2018-09-01,1123,2.0,6.945681211041852
2018-09-01,1123,3.0,6.41139804096171
2018-10-01,1136,0.0,24.383802816901408
2018-10-01,1136,1.0,9.242957746478874
2018-10-01,1136,2.0,6.778169014084507
2018-11-01,1208,0.0,22.350993377483444
2018-11-01,1208,1.0,9.7682119205298
2018-12-01,1374,0.0,25.909752547307132
